"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ranking_metric"
"ENSG00000157911",816.290037415389,0.1565185190822,0.195576352135387,0.800293682611744,0.423540662412639,0.877778620994893,0.0566150009540381
"ENSG00000142655",1535.04621928325,0.0513839392668459,0.209470094456574,0.245304416366215,0.806220732438165,0.980678740369939,0.00847323944464087
"ENSG00000149527",122.48445077302,2.41716534221826,0.371372258181972,6.5087396512904,7.57839334221443e-11,7.822546297532e-09,8.10665185781383
"ENSG00000171621",185.585642210852,0.0864128919981559,0.255404567092845,0.338337301410678,0.735109016960183,0.96695565399404,0.014593442842856
"ENSG00000173614",360.86300742228,0.172912663294409,0.203119581028536,0.851285052966494,0.394611025890122,0.867831725077177,0.0615644775369368
"ENSG00000204624",149.153928713188,0.36367568649645,0.274717194353107,1.32381843572922,0.185563351855625,0.689841176053371,0.161250886513919
"ENSG00000142606",62.2399202332139,0.981128376100056,0.39779076038283,2.46644335116237,0.0136462311838053,0.16617722704241,0.77942849226949
"ENSG00000171729",2023.13157607889,0.169467751692297,0.205348413482969,0.825269349871809,0.409218688845816,0.871442244152235,0.0597613909718509
"ENSG00000037637",1468.44167156719,0.0932578631050939,0.192236846462709,0.485119605429984,0.627591505662056,0.946278299523599,0.0239811192296151
"ENSG00000159423",779.307830547404,-0.106704017557484,0.193752694960017,-0.550722752937729,0.581823744778713,0.93572469216601,-0.0288519100872065
"ENSG00000157916",4227.71588498984,0.0968319324393645,0.199664944629785,0.484972124770867,0.627696118988103,0.946278299523599,0.0239811192296151
"ENSG00000157881",1388.49419260309,0.0989899963154834,0.158587578173173,0.624197667029061,0.532497778823735,0.921397565398908,0.0355529396145058
"ENSG00000048707",1203.52614402671,0.446626172346785,0.362356513775741,1.23256007651955,0.217739939699135,0.731808186213512,0.135602736681236
"ENSG00000162444",4.17536852887043,-0.473425983444685,1.08654672852051,-0.435716174019798,0.663042669354213,0.954861315855406,-0.0200597008062021
"ENSG00000180758",376.825457503201,0.20757349465304,0.219174676598008,0.947068784929721,0.343603729612925,0.835788021922921,0.0779038572293097
"ENSG00000184677",1974.40512244778,-0.018768901843616,0.329734909070834,-0.0569211852530424,0.954607978279626,0.994920457587618,-0.00221163906497002
"ENSG00000288398",373.226892060087,0.249128049195927,0.235400968709875,1.05831361086271,0.289912489723889,0.799817828117481,0.097008919573901
"ENSG00000131697",1049.41271068559,0.0200126904633192,0.209847706296476,0.095367687436359,0.924022780759537,0.993318082069215,0.00291165868773267
"ENSG00000233929",2.57550986312368,-1.17289274403174,1.68264332768172,-0.697053692090351,0.485769192966961,0.904573824136785,-0.0435559836887422
"ENSG00000055070",5429.44720281091,-0.00697242705640717,0.146443092491004,-0.0476118534360745,0.962025585068526,0.996539816908052,-0.00150534431121931
"ENSG00000225643",2.7384910015378,-0.493300624436725,1.44308093943552,-0.341838500499969,0.732472433824094,0.966515573406455,-0.014791143818565
"ENSG00000204138",3431.45119518684,-0.100555067847948,0.176447366038326,-0.569887043970422,0.568754312830782,0.933044657634024,-0.0300975694368976
"ENSG00000090020",738.884609406077,0.179301858160498,0.232928031629718,0.769773637402008,0.441434180305507,0.886676474474007,0.0522348141941785
"ENSG00000157978",505.110240445706,-0.471806090432805,0.177612852766648,-2.65637358492674,0.00789860587002452,0.111873910843849,-0.951271179759239
"ENSG00000158006",872.778052547797,0.378608008836565,0.192627601110064,1.9654919993539,0.0493573207673482,0.37708883997398,0.423556320443592
"ENSG00000196581",178.292269419388,-2.79466435879581,0.358663697276292,-7.79187963548754,6.60196104391027e-15,1.1465929644753e-12,-11.9405907273956
"ENSG00000169403",13.2053544946122,-0.30597215229527,0.698191490315705,-0.438235292952249,0.661215726957491,0.954861315855406,-0.0200597008062021
"ENSG00000171612",1359.57771053796,-0.179558103235612,0.254040661538223,-0.706808516984576,0.479685481053313,0.902990677703849,-0.0443167332332001
"ENSG00000158161",1382.48733744013,0.096296167747766,0.235323164849088,0.409208195927164,0.682386880204057,0.958020921248822,0.0186250067004666
"ENSG00000142627",3344.98849053995,0.0810453093001636,0.216152842344911,0.374944453290331,0.707701777738661,0.962650347705174,0.0165314279706046
"ENSG00000142632",693.448731376092,-0.158708918787699,0.216547771506148,-0.73290488137484,0.463616445683206,0.895031723840612,-0.0481615711145323
"ENSG00000189337",973.790588067944,-0.0853101945922914,0.218435263939778,-0.39055138375373,0.696128867107284,0.960003186669444,-0.0177273253451624
"ENSG00000028137",64.6216812248275,-0.0490952369274152,0.339804337691133,-0.144480901159186,0.885120736876193,0.989181528571674,-0.00472400200978406
"ENSG00000130939",2937.48055029959,0.106229666489129,0.237828910398691,0.44666422728443,0.655117514297111,0.953713229720922,0.0205821928767922
"ENSG00000175147",248.097264921391,0.419114800498256,0.323254568806156,1.29654718275485,0.194787035611476,0.701878118509468,0.153738296779586
"ENSG00000060656",1845.94629098488,-0.177493530325056,0.250428645218827,-0.708758896850482,0.478474108768087,0.90239152996398,-0.0446049897206272
"ENSG00000163867",409.639774109161,-0.560435373527865,0.429310787099241,-1.30543044891698,0.191746315775644,0.698632139213856,-0.155751439365173
"ENSG00000134698",810.429590979845,-0.20547836276954,0.301909816734776,-0.680595169086704,0.496127684554568,0.910638551558508,-0.0406539679365427
