from,to,combined_score
9606.ENSP00000212355,9606.ENSP00000219255,902
9606.ENSP00000212355,9606.ENSP00000219255,902
9606.ENSP00000223095,9606.ENSP00000243077,999
9606.ENSP00000223095,9606.ENSP00000243077,999
9606.ENSP00000220478,9606.ENSP00000249330,731
9606.ENSP00000220478,9606.ENSP00000249330,731
9606.ENSP00000242728,9606.ENSP00000256495,935
9606.ENSP00000242728,9606.ENSP00000256495,935
9606.ENSP00000252575,9606.ENSP00000256509,845
9606.ENSP00000252575,9606.ENSP00000256509,845
9606.ENSP00000226279,9606.ENSP00000257770,819
9606.ENSP00000226279,9606.ENSP00000257770,819
9606.ENSP00000221166,9606.ENSP00000257860,836
9606.ENSP00000221166,9606.ENSP00000257860,836
9606.ENSP00000257770,9606.ENSP00000259727,930
9606.ENSP00000257770,9606.ENSP00000259727,930
9606.ENSP00000222812,9606.ENSP00000263233,762
9606.ENSP00000222812,9606.ENSP00000263233,762
9606.ENSP00000256509,9606.ENSP00000263233,799
9606.ENSP00000256509,9606.ENSP00000263233,799
9606.ENSP00000226279,9606.ENSP00000263431,800
9606.ENSP00000226279,9606.ENSP00000263431,800
9606.ENSP00000248437,9606.ENSP00000264071,915
9606.ENSP00000248437,9606.ENSP00000264071,915
9606.ENSP00000228280,9606.ENSP00000264563,745
9606.ENSP00000228280,9606.ENSP00000264563,745
9606.ENSP00000222812,9606.ENSP00000265459,711
9606.ENSP00000222812,9606.ENSP00000265459,711
9606.ENSP00000256509,9606.ENSP00000265709,882
9606.ENSP00000256509,9606.ENSP00000265709,882
9606.ENSP00000263373,9606.ENSP00000265709,871
9606.ENSP00000263373,9606.ENSP00000265709,871
9606.ENSP00000264661,9606.ENSP00000265969,705
9606.ENSP00000264661,9606.ENSP00000265969,705
9606.ENSP00000222812,9606.ENSP00000266376,945
9606.ENSP00000222812,9606.ENSP00000266376,945
9606.ENSP00000223095,9606.ENSP00000266503,927
9606.ENSP00000223095,9606.ENSP00000266503,927
9606.ENSP00000249330,9606.ENSP00000266744,908
9606.ENSP00000249330,9606.ENSP00000266744,908
9606.ENSP00000256495,9606.ENSP00000267430,900
9606.ENSP00000256495,9606.ENSP00000267430,900
9606.ENSP00000070846,9606.ENSP00000267853,715
9606.ENSP00000070846,9606.ENSP00000267853,715
9606.ENSP00000219255,9606.ENSP00000271636,702
9606.ENSP00000219255,9606.ENSP00000271636,702
9606.ENSP00000222812,9606.ENSP00000272371,985
9606.ENSP00000222812,9606.ENSP00000272371,985
9606.ENSP00000222812,9606.ENSP00000273666,937
9606.ENSP00000222812,9606.ENSP00000273666,937
9606.ENSP00000268070,9606.ENSP00000274181,916
9606.ENSP00000268070,9606.ENSP00000274181,916
9606.ENSP00000070846,9606.ENSP00000282561,991
9606.ENSP00000070846,9606.ENSP00000282561,991
9606.ENSP00000248437,9606.ENSP00000282561,814
9606.ENSP00000248437,9606.ENSP00000282561,814
9606.ENSP00000263431,9606.ENSP00000282561,801
9606.ENSP00000263431,9606.ENSP00000282561,801
9606.ENSP00000264071,9606.ENSP00000282561,832
9606.ENSP00000264071,9606.ENSP00000282561,832
9606.ENSP00000265165,9606.ENSP00000282561,925
9606.ENSP00000265165,9606.ENSP00000282561,925
9606.ENSP00000226279,9606.ENSP00000287713,933
9606.ENSP00000226279,9606.ENSP00000287713,933
9606.ENSP00000264563,9606.ENSP00000291700,702
9606.ENSP00000264563,9606.ENSP00000291700,702
9606.ENSP00000265459,9606.ENSP00000293441,877
9606.ENSP00000265459,9606.ENSP00000293441,877
9606.ENSP00000265969,9606.ENSP00000295225,887
9606.ENSP00000265969,9606.ENSP00000295225,887
9606.ENSP00000263373,9606.ENSP00000295718,723
9606.ENSP00000263373,9606.ENSP00000295718,723
9606.ENSP00000243347,9606.ENSP00000295927,988
9606.ENSP00000243347,9606.ENSP00000295927,988
9606.ENSP00000245907,9606.ENSP00000295927,799
9606.ENSP00000245907,9606.ENSP00000295927,799
9606.ENSP00000222812,9606.ENSP00000295987,853
9606.ENSP00000222812,9606.ENSP00000295987,853
9606.ENSP00000263233,9606.ENSP00000295987,893
9606.ENSP00000263233,9606.ENSP00000295987,893
9606.ENSP00000263233,9606.ENSP00000296452,791
9606.ENSP00000263233,9606.ENSP00000296452,791
9606.ENSP00000288221,9606.ENSP00000296452,887
9606.ENSP00000288221,9606.ENSP00000296452,887
9606.ENSP00000295987,9606.ENSP00000296452,798
9606.ENSP00000295987,9606.ENSP00000296452,798
9606.ENSP00000230538,9606.ENSP00000296585,789
9606.ENSP00000230538,9606.ENSP00000296585,789
9606.ENSP00000243077,9606.ENSP00000297161,731
9606.ENSP00000243077,9606.ENSP00000297161,731
9606.ENSP00000268070,9606.ENSP00000299164,915
9606.ENSP00000268070,9606.ENSP00000299164,915
9606.ENSP00000274181,9606.ENSP00000299164,915
9606.ENSP00000274181,9606.ENSP00000299164,915
9606.ENSP00000262895,9606.ENSP00000300105,763
9606.ENSP00000262895,9606.ENSP00000300105,763
9606.ENSP00000266376,9606.ENSP00000300105,796
9606.ENSP00000266376,9606.ENSP00000300105,796
9606.ENSP00000266376,9606.ENSP00000303252,716
9606.ENSP00000266376,9606.ENSP00000303252,716
9606.ENSP00000220478,9606.ENSP00000304133,861
9606.ENSP00000220478,9606.ENSP00000304133,861
9606.ENSP00000249330,9606.ENSP00000304133,741
9606.ENSP00000249330,9606.ENSP00000304133,741
9606.ENSP00000297161,9606.ENSP00000305334,708
9606.ENSP00000297161,9606.ENSP00000305334,708
9606.ENSP00000222812,9606.ENSP00000305613,999
9606.ENSP00000222812,9606.ENSP00000305613,999
9606.ENSP00000273666,9606.ENSP00000305613,790
9606.ENSP00000273666,9606.ENSP00000305613,790
9606.ENSP00000295987,9606.ENSP00000305613,890
9606.ENSP00000295987,9606.ENSP00000305613,890
9606.ENSP00000296545,9606.ENSP00000305651,820
9606.ENSP00000296545,9606.ENSP00000305651,820
9606.ENSP00000263431,9606.ENSP00000306245,880
9606.ENSP00000263431,9606.ENSP00000306245,880
9606.ENSP00000264716,9606.ENSP00000306245,911
9606.ENSP00000264716,9606.ENSP00000306245,911
9606.ENSP00000230538,9606.ENSP00000306490,900
9606.ENSP00000230538,9606.ENSP00000306490,900
9606.ENSP00000255380,9606.ENSP00000306490,823
9606.ENSP00000255380,9606.ENSP00000306490,823
9606.ENSP00000226279,9606.ENSP00000306523,704
9606.ENSP00000226279,9606.ENSP00000306523,704
9606.ENSP00000295718,9606.ENSP00000306523,833
9606.ENSP00000295718,9606.ENSP00000306523,833
9606.ENSP00000243347,9606.ENSP00000306991,743
9606.ENSP00000243347,9606.ENSP00000306991,743
9606.ENSP00000243077,9606.ENSP00000307046,908
9606.ENSP00000243077,9606.ENSP00000307046,908
9606.ENSP00000252575,9606.ENSP00000307046,925
9606.ENSP00000252575,9606.ENSP00000307046,925
9606.ENSP00000296585,9606.ENSP00000307046,918
9606.ENSP00000296585,9606.ENSP00000307046,918
9606.ENSP00000306245,9606.ENSP00000307046,905
9606.ENSP00000306245,9606.ENSP00000307046,905
9606.ENSP00000219334,9606.ENSP00000311648,927
9606.ENSP00000219334,9606.ENSP00000311648,927
9606.ENSP00000221166,9606.ENSP00000311997,777
9606.ENSP00000221166,9606.ENSP00000311997,777
9606.ENSP00000257860,9606.ENSP00000311997,808
9606.ENSP00000257860,9606.ENSP00000311997,808
9606.ENSP00000219334,9606.ENSP00000315137,759
9606.ENSP00000219334,9606.ENSP00000315137,759
